Area name,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over,Aged 90 years and over,Con,Lab,LibDem,Green,Other,Vacant,Majority
Cheltenham,0.0496633,0.053872054,0.058080808,0.056397306,0.066498316,0.068181818,0.06986532,0.069023569,0.063973064,0.062289562,0.066498316,0.067340067,0.055555556,0.047138047,0.048821549,0.037037037,0.027777778,0.019360269,0.031144781,0.125,0,0.75,0.05,0.075,0,LD
Cherwell,0.058385093,0.058385093,0.060869565,0.051552795,0.049068323,0.066459627,0.075776398,0.073913043,0.067701863,0.065838509,0.071428571,0.069565217,0.056521739,0.046583851,0.047204969,0.033540373,0.023602484,0.014906832,0.023602484,0.520833333,0.1875,0.145833333,0.041666667,0.104166667,0,CON
Cheshire East,0.049899699,0.055416249,0.057422267,0.049398195,0.044132397,0.05441324,0.060932798,0.061434303,0.059929789,0.066198596,0.075977934,0.076479438,0.064192578,0.055917753,0.061183551,0.045135406,0.031344032,0.019057172,0.030090271,0.353658537,0.292682927,0.048780488,0,0.268292683,0.036585366,NOC
Cheshire West and Chester,0.049272116,0.055431131,0.056830907,0.052351624,0.055151176,0.059630459,0.062989922,0.062709966,0.058510638,0.064109742,0.072788354,0.074468085,0.063549832,0.055431131,0.057670773,0.041993281,0.029955207,0.017357223,0.02743561,0.4,0.471428571,0.028571429,0.014285714,0.085714286,0,NOC
Chesterfield,0.049227799,0.054054054,0.055984556,0.047297297,0.051158301,0.063706564,0.062741313,0.058880309,0.057915058,0.064671815,0.074324324,0.076254826,0.066602317,0.057915058,0.057915058,0.043436293,0.028957529,0.017374517,0.027027027,0,0.604166667,0.354166667,0,0.041666667,0,LAB
Chichester,0.042707494,0.049153908,0.053182917,0.052377115,0.052377115,0.04995971,0.051571313,0.051571313,0.052377115,0.058017728,0.068493151,0.075745367,0.070910556,0.064464142,0.070910556,0.055600322,0.039484287,0.024979855,0.04109589,0.472222222,0.027777778,0.305555556,0.055555556,0.138888889,0,NOC
Chorley,0.051782683,0.05942275,0.05942275,0.05008489,0.044991511,0.056027165,0.065365025,0.066213922,0.062818336,0.067911715,0.076400679,0.07385399,0.06196944,0.054329372,0.05942275,0.042444822,0.027164686,0.014431239,0.022071307,0.238095238,0.738095238,0,0,0.023809524,0,LAB
Colchester,0.056045667,0.06123508,0.060197198,0.058640374,0.072132849,0.065386611,0.070057084,0.066943435,0.065386611,0.064348729,0.067462377,0.062272963,0.051894136,0.044628957,0.050337312,0.035806954,0.023871303,0.014530358,0.023352361,0.37254902,0.294117647,0.294117647,0.039215686,0,0,NOC
Cornwall,0.044713309,0.053129932,0.054708048,0.051376469,0.050149044,0.049973698,0.055234087,0.054182009,0.054883395,0.061020516,0.071365948,0.075574259,0.071015255,0.06557952,0.070839909,0.051551815,0.032965106,0.019989479,0.031913028,0.528735632,0.057471264,0.149425287,0.011494253,0.252873563,0,CON
Cotswold,0.044052863,0.050660793,0.055066079,0.04845815,0.044052863,0.044052863,0.050660793,0.053964758,0.056167401,0.064977974,0.075991189,0.081497797,0.071585903,0.066079295,0.06938326,0.052863436,0.036343612,0.023127753,0.036343612,0.411764706,0,0.529411765,0.029411765,0.029411765,0,LD
Coventry,0.059079062,0.063712714,0.064002317,0.073559224,0.091514625,0.070952795,0.073848827,0.069794382,0.063133507,0.058789458,0.061975094,0.056762236,0.047205329,0.038806835,0.036779612,0.028960324,0.021141037,0.012742543,0.020272227,0.277777778,0.666666667,0,0.018518519,0.037037037,0,LAB
Crawley,0.064135021,0.06835443,0.065822785,0.054852321,0.055696203,0.07257384,0.084388186,0.082700422,0.075949367,0.065822785,0.064978903,0.059915612,0.051476793,0.038818565,0.035443038,0.02278481,0.016033755,0.011814346,0.019409283,0.444444444,0.527777778,0,0,0,0.027777778,NOC
Croydon,0.064483112,0.063971341,0.064994882,0.057062436,0.055271238,0.070368475,0.080859775,0.079836233,0.073183214,0.066530194,0.069344933,0.066018424,0.051944729,0.039150461,0.03531218,0.02482088,0.018423746,0.011770727,0.018167861,0.471428571,0.485714286,0.014285714,0.028571429,0,0,NOC
Dacorum,0.061895551,0.063829787,0.064474533,0.051579626,0.045776918,0.058671825,0.07027724,0.071566731,0.070921986,0.06898775,0.069632495,0.06898775,0.058671825,0.047066409,0.045132173,0.032237266,0.023855577,0.016118633,0.025789813,0.607843137,0,0.37254902,0,0.019607843,0,CON
Darlington,0.051020408,0.058441558,0.06122449,0.05380334,0.050092764,0.059369202,0.064935065,0.06122449,0.06122449,0.064007421,0.072356215,0.073283859,0.064935065,0.055658627,0.055658627,0.038961039,0.028756957,0.016697588,0.025974026,0.48,0.32,0.06,0.04,0.1,0,NOC
